country_id,country_value,year,indicator_id,indicator_name,value
XD,High income,2013,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",98.94553
XD,High income,2012,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",98.73779
XD,High income,2011,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",98.44634
XD,High income,2010,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",98.37357
XD,High income,2009,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",97.93457
XD,High income,2008,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",97.36577
XD,High income,2007,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",97.21498
XD,High income,2006,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",96.3083
XD,High income,2005,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",96.19998
XD,High income,2004,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",96.80234
XM,Low income,2013,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",69.50674
XM,Low income,2012,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",69.37691
XM,Low income,2011,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",68.51527
XM,Low income,2010,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",66.35794
XM,Low income,2009,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",65.2527
XM,Low income,2008,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",62.11959
XM,Low income,2007,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",60.20192
XM,Low income,2006,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",58.91962
XM,Low income,2005,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",56.80042
XM,Low income,2004,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",53.99283
