country_id,country_value,year,indicator_id,indicator_name,value
XD,High income,2014,SE.SCH.LIFE.FE,"Expected years of schooling, female",
XD,High income,2013,SE.SCH.LIFE.FE,"Expected years of schooling, female",16.73432
XD,High income,2012,SE.SCH.LIFE.FE,"Expected years of schooling, female",16.49264
XD,High income,2011,SE.SCH.LIFE.FE,"Expected years of schooling, female",16.4626
XD,High income,2010,SE.SCH.LIFE.FE,"Expected years of schooling, female",16.32626
XD,High income,2009,SE.SCH.LIFE.FE,"Expected years of schooling, female",16.13652
XD,High income,2008,SE.SCH.LIFE.FE,"Expected years of schooling, female",15.9863
XD,High income,2007,SE.SCH.LIFE.FE,"Expected years of schooling, female",15.88624
XD,High income,2006,SE.SCH.LIFE.FE,"Expected years of schooling, female",15.78519
XD,High income,2005,SE.SCH.LIFE.FE,"Expected years of schooling, female",15.77745
XM,Low income,2014,SE.SCH.LIFE.FE,"Expected years of schooling, female",
XM,Low income,2013,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.17584
XM,Low income,2012,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.16682
XM,Low income,2011,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.07464
XM,Low income,2010,SE.SCH.LIFE.FE,"Expected years of schooling, female",8.82291
XM,Low income,2009,SE.SCH.LIFE.FE,"Expected years of schooling, female",8.59805
XM,Low income,2008,SE.SCH.LIFE.FE,"Expected years of schooling, female",8.36454
XM,Low income,2007,SE.SCH.LIFE.FE,"Expected years of schooling, female",8.04096
XM,Low income,2006,SE.SCH.LIFE.FE,"Expected years of schooling, female",7.79415
XM,Low income,2005,SE.SCH.LIFE.FE,"Expected years of schooling, female",7.48171
XN,Lower middle income,2014,SE.SCH.LIFE.FE,"Expected years of schooling, female",
XN,Lower middle income,2013,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.91736
XN,Lower middle income,2012,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.93264
XN,Lower middle income,2011,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.63715
XN,Lower middle income,2010,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.35783
XN,Lower middle income,2009,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.06429
XN,Lower middle income,2008,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.94298
XN,Lower middle income,2007,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.68186
XN,Lower middle income,2006,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.41794
XN,Lower middle income,2005,SE.SCH.LIFE.FE,"Expected years of schooling, female",9.22232
XP,Middle income,2014,SE.SCH.LIFE.FE,"Expected years of schooling, female",
XP,Middle income,2013,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.04939
XP,Middle income,2012,SE.SCH.LIFE.FE,"Expected years of schooling, female",11.89204
XP,Middle income,2011,SE.SCH.LIFE.FE,"Expected years of schooling, female",11.61485
XP,Middle income,2010,SE.SCH.LIFE.FE,"Expected years of schooling, female",11.37829
XP,Middle income,2009,SE.SCH.LIFE.FE,"Expected years of schooling, female",11.14185
XP,Middle income,2008,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.98265
XP,Middle income,2007,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.72285
XP,Middle income,2006,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.43831
XP,Middle income,2005,SE.SCH.LIFE.FE,"Expected years of schooling, female",10.21974
XT,Upper middle income,2014,SE.SCH.LIFE.FE,"Expected years of schooling, female",
XT,Upper middle income,2013,SE.SCH.LIFE.FE,"Expected years of schooling, female",13.81932
XT,Upper middle income,2012,SE.SCH.LIFE.FE,"Expected years of schooling, female",13.40038
XT,Upper middle income,2011,SE.SCH.LIFE.FE,"Expected years of schooling, female",13.15627
XT,Upper middle income,2010,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.98503
XT,Upper middle income,2009,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.84003
XT,Upper middle income,2008,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.62021
XT,Upper middle income,2007,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.35404
XT,Upper middle income,2006,SE.SCH.LIFE.FE,"Expected years of schooling, female",12.01755
XT,Upper middle income,2005,SE.SCH.LIFE.FE,"Expected years of schooling, female",11.7297
